time_millisecond,arousal,player_speed,zombie_speed,fog_start_dist,fog_end_dist,current_round,zombie_threshold,zombie_increase_power,max_zombie_alive,number_of_alive_zombies,number_of_killed_zombies,grenade_regen_delay,medic_regen_delay,calibrating,adaptation_condition
5010,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,3
5010,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,3
5010,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,3
5010,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,3
5980,0,1,1,300,1000,1,5,1.3,5,2,0,30,30,0,3
5980,0,1,1,300,1000,1,5,1.3,5,2,0,30,30,1,3
7010,0,1,1,300,1000,1,5,1.3,5,3,0,30,30,1,3
7980,0,1,1,300,1000,1,5,1.3,5,4,0,30,30,1,3
8980,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,3
13000,0,1,1,300,1000,1,5,1.3,5,3,2,30,30,1,3
32100,0,1,1,300,1000,2,5,1.3,5,0,5,30,30,1,3
32100,0,1,1,300,1000,2,5,1.3,7,0,5,30,30,1,3
32100,0,1,1,300,1000,2,8,1.3,7,0,5,30,30,1,3
42100,0,1,1,300,1000,2,8,1.3,7,1,5,30,30,1,3
42100,0,1,1,300,1000,2,8,1.3,7,2,5,30,30,1,3
43110,0,1,1,300,1000,2,8,1.3,7,3,5,30,30,1,3
43110,0,1,1,300,1000,2,8,1.3,7,4,5,30,30,1,3
44110,0,1,1,300,1000,2,8,1.3,7,5,5,30,30,1,3
44110,0,1,1,300,1000,2,8,1.3,7,6,5,30,30,1,3
45120,0,1,1,300,1000,2,8,1.3,7,7,5,30,30,1,3
51150,0,1,1,300,1000,2,8,1.3,7,7,6,30,30,1,3
66220,0,1,1,300,1000,2,8,1.3,7,3,10,30,30,0,3
66220,0.4950347,1,1.257807,300,1000,2,8,1.3,7,3,10,30,30,0,3
67230,0.4742014,1,1.291654,300,1000,2,8,1.3,7,3,10,30,30,0,3
68230,0.4208525,1,1.387246,300,1000,2,8,1.3,7,3,10,30,30,0,3
69240,0.4317559,1,1.366576,300,1000,2,8,1.3,7,2,11,30,30,0,3
70240,0.4835472,1,1.276247,300,1000,2,8,1.3,7,2,11,30,30,0,3
71240,0.5105137,1,1.233785,300,1000,2,8,1.3,7,2,11,30,30,0,3
72250,0.506425,1,1.240041,300,1000,2,8,1.3,7,2,11,30,30,0,3
73260,0.4388627,1,1.353431,300,1000,2,8,1.3,7,2,11,30,30,0,3
74260,0.394957,1,1.438938,300,1000,2,8,1.3,7,2,11,30,30,0,3
75270,0.394957,1,1.438938,300,1000,3,8,1.3,7,0,13,30,30,0,3
75270,0.394957,1,1.438938,300,1000,3,8,1.3,10,0,13,30,30,0,3
75270,0.394957,1,1.438938,300,1000,3,14,1.3,10,0,13,30,30,0,3
75270,0.4007981,1,1.426944,300,1000,3,14,1.3,10,0,13,30,30,0,3
85280,0.4007981,1,1.426944,300,1000,3,14,1.3,10,1,13,30,30,0,3
85280,0.4007981,1,1.426944,300,1000,3,14,1.3,10,2,13,30,30,0,3
85280,0.4007981,1,1.426944,300,1000,3,14,1.3,10,3,13,30,30,0,3
85280,0.4007981,1,1.426944,300,1000,3,14,1.3,10,4,13,30,30,0,3
85280,0.6547895,1,1.047351,300,1000,3,14,1.3,10,4,13,30,30,0,3
86280,0.6547895,1,1.047351,300,1000,3,14,1.3,10,5,13,30,30,0,3
86280,0.6547895,1,1.047351,300,1000,3,14,1.3,10,6,13,30,30,0,3
86280,0.6547895,1,1.047351,300,1000,3,14,1.3,10,7,13,30,30,0,3
86280,0.6547895,1,1.047351,300,1000,3,14,1.3,10,8,13,30,30,0,3
86280,0.6191587,1,1.087951,300,1000,3,14,1.3,10,8,13,30,30,0,3
87280,0.6191587,1,1.087951,300,1000,3,14,1.3,10,9,13,30,30,0,3
87280,0.6191587,1,1.087951,300,1000,3,14,1.3,10,10,13,30,30,0,3
87280,0.5832357,1,1.132201,300,1000,3,14,1.3,10,10,13,30,30,0,3
88280,0.5485784,1,1.178442,300,1000,3,14,1.3,10,10,13,30,30,0,3
89290,0.5155759,1,1.226127,300,1000,3,14,1.3,10,10,13,30,30,0,3
90300,0.5155759,1,1.226127,300,1000,3,14,1.3,10,10,14,30,30,0,3
90300,0.5031148,1,1.245152,300,1000,3,14,1.3,10,10,14,30,30,0,3
91300,0.4916273,1,1.263221,300,1000,3,14,1.3,10,10,14,30,30,0,3
92310,0.4916273,1,1.263221,300,1000,3,14,1.3,10,10,15,30,30,0,3
92310,0.4733252,1,1.293117,300,1000,3,14,1.3,10,10,15,30,30,0,3
93310,0.4733252,1,1.293117,300,1000,3,14,1.3,10,10,16,30,30,0,3
93310,0.4438275,1,1.344398,300,1000,3,14,1.3,10,10,16,30,30,0,3
94320,0.4034265,1,1.421613,300,1000,3,14,1.3,10,10,16,30,30,0,3
95320,0.395541,1,1.43773,300,1000,3,14,1.3,10,10,16,30,30,0,3
96330,0.4006033,1,1.427341,300,1000,3,14,1.3,10,10,16,30,30,0,3
97330,0.3954436,1,1.437931,300,1000,3,14,1.3,10,10,16,30,30,0,3
98340,0.3916469,1,1.445825,300,1000,3,14,1.3,10,10,16,30,30,0,3
99340,0.3916469,1,1.445825,300,1000,3,14,1.3,10,10,17,30,30,0,3
99340,0.3845402,1,1.460835,300,1000,3,14,1.3,10,10,17,30,30,0,3
100350,0.3871686,1,1.455247,300,1000,3,14,1.3,10,10,17,30,30,0,3
101350,0.4055682,1,1.417297,300,1000,3,14,1.3,10,10,17,30,30,0,3
102360,0.4183213,1,1.392135,300,1000,3,14,1.3,10,9,18,30,30,0,3
103360,0.4283485,1,1.372969,300,1000,3,14,1.3,10,8,19,30,30,0,3
104370,0.4681655,1,1.301803,300,1000,3,14,1.3,10,7,20,30,30,0,3
105370,0.5065222,1,1.239891,300,1000,3,14,1.3,10,7,20,30,30,0,3
