time_millisecond,arousal,player_speed,zombie_speed,fog_start_dist,fog_end_dist,current_round,zombie_threshold,zombie_increase_power,max_zombie_alive,number_of_alive_zombies,number_of_killed_zombies,grenade_regen_delay,medic_regen_delay,calibrating,adaptation_condition
4990,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,2
5970,0,1,1,300,1000,1,5,1.3,5,2,0,30,30,0,2
6980,0,1,1,300,1000,1,5,1.3,5,3,0,30,30,0,2
7980,0,1,1,300,1000,1,5,1.3,5,4,0,30,30,0,2
7980,0,1,1,300,1000,1,5,1.3,5,4,0,30,30,1,2
8990,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,2
15020,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,2
38140,0,1,1,300,1000,2,5,1.3,5,0,5,30,30,1,2
38140,0,1,1,300,1000,2,5,1.3,7,0,5,30,30,1,2
38140,0,1,1,300,1000,2,8,1.3,7,0,5,30,30,1,2
48140,0,1,1,300,1000,2,8,1.3,7,1,5,30,30,1,2
48140,0,1,1,300,1000,2,8,1.3,7,2,5,30,30,1,2
49140,0,1,1,300,1000,2,8,1.3,7,3,5,30,30,1,2
49140,0,1,1,300,1000,2,8,1.3,7,4,5,30,30,1,2
50150,0,1,1,300,1000,2,8,1.3,7,5,5,30,30,1,2
50150,0,1,1,300,1000,2,8,1.3,7,6,5,30,30,1,2
51150,0,1,1,300,1000,2,8,1.3,7,7,5,30,30,1,2
53160,0,1,1,300,1000,2,8,1.3,7,7,6,30,30,1,2
68240,0,1,1,300,1000,2,8,1.3,7,2,11,30,30,0,2
68240,0.7509481,2.051707,1,300,1000,2,8,1.3,7,2,11,30,30,0,2
68240,0.7509481,2.051707,1,300,1000,2,8,1.3,7,2,11,24.98104,30,0,2
69240,0.7367428,2.026137,1,300,1000,2,8,1.3,7,2,11,24.98104,30,0,2
69240,0.7367428,2.026137,1,300,1000,2,8,1.3,7,2,11,25.26514,30,0,2
70250,0.7125947,1.982671,1,300,1000,2,8,1.3,7,2,11,25.26514,30,0,2
70250,0.7125947,1.982671,1,300,1000,2,8,1.3,7,2,11,25.7481,30,0,2
71260,0.6870263,1.936647,1,300,1000,2,8,1.3,7,2,11,25.7481,30,0,2
71260,0.6870263,1.936647,1,300,1000,2,8,1.3,7,2,11,26.25947,30,0,2
72260,0.6628791,1.893182,1,300,1000,2,8,1.3,7,2,11,26.25947,30,0,2
72260,0.6628791,1.893182,1,300,1000,2,8,1.3,7,2,11,26.74242,30,0,2
73260,0.6695082,1.905115,1,300,1000,2,8,1.3,7,2,11,26.74242,30,0,2
73260,0.6695082,1.905115,1,300,1000,2,8,1.3,7,2,11,26.60984,30,0,2
74270,0.7154364,1.987785,1,300,1000,2,8,1.3,7,2,11,26.60984,30,0,2
74270,0.7154364,1.987785,1,300,1000,2,8,1.3,7,2,11,25.69127,30,0,2
75280,0.7765161,2.097729,1,300,1000,2,8,1.3,7,1,12,25.69127,30,0,2
75280,0.7765161,2.097729,1,300,1000,2,8,1.3,7,1,12,24.46968,30,0,2
76280,0.8214971,2.178695,1,300,1000,2,8,1.3,7,1,12,24.46968,30,0,2
76280,0.8214971,2.178695,1,300,1000,2,8,1.3,7,1,12,23.57006,30,0,2
77280,0.8660047,2.258808,1,300,1000,2,8,1.3,7,1,12,23.57006,30,0,2
77280,0.8660047,2.258808,1,300,1000,2,8,1.3,7,1,12,22.6799,30,0,2
78290,0.9223493,2.360229,1,300,1000,2,8,1.3,7,1,12,22.6799,30,0,2
78290,0.9223493,2.360229,1,300,1000,2,8,1.3,7,1,12,21.55301,30,0,2
79290,0.9895843,2.481252,1,300,1000,2,8,1.3,7,1,12,21.55301,30,0,2
79290,0.9895843,2.481252,1,300,1000,2,8,1.3,7,1,12,20.20831,30,0,2
80300,1,2.5,1,300,1000,2,8,1.3,7,1,12,20.20831,30,0,2
80300,1,2.5,1,300,1000,2,8,1.3,7,1,12,20,30,0,2
81310,1,2.5,1,300,1000,2,8,1.3,7,1,12,20,30,0,2
81310,1,2.5,1,300,1000,2,8,1.3,7,1,12,20,30,0,2
82310,0.9753798,2.455683,1,300,1000,2,8,1.3,7,1,12,20,30,0,2
82310,0.9753798,2.455683,1,300,1000,2,8,1.3,7,1,12,20.4924,30,0,2
83310,0.9398686,2.391763,1,300,1000,2,8,1.3,7,1,12,20.4924,30,0,2
83310,0.9398686,2.391763,1,300,1000,2,8,1.3,7,1,12,21.20263,30,0,2
84320,0.9081448,2.334661,1,300,1000,2,8,1.3,7,1,12,21.20263,30,0,2
84320,0.9081448,2.334661,1,300,1000,2,8,1.3,7,1,12,21.8371,30,0,2
85320,0.9081448,2.334661,1,300,1000,3,8,1.3,7,0,13,21.8371,30,0,2
