_completed,_id,_language,_created_at,_updated_at,_ip_address,_locale,_username,_get_variables,_referrer,_saves,_weighted_score,_completion_time,_invite_code,_invite_email,_invite_name,_collector_id,id ,dmg.0 ,dmg.1 ,dmg.2 ,dmg.3 ,dmg.4 ,how_often_you_play ,gaming_system_xbox_360,gaming_system_playstation_3,gaming_system_playstation_2,gaming_system_nintendo_wii,gaming_system_computer,gaming_system_tablet,gaming_system_smartphone,gaming_system_dedicated_mobile,gaming_system_other,gaming_system_other_text,game_experience.0 ,game_experience.1 ,game_experience.2 ,game_experience.3 ,play_style ,experience_rate.0 ,experience_rate.1 ,experience_rate.2 ,experience_rate.3 ,experience_rate.4 ,experience_rate.5 ,experience_rate.6 ,experience_rate.7 ,experience_rate.8 ,experience_rate.9 ,experience_rate.10 ,experience_rate.11 ,experience_rate.12 ,experience_rate.13 ,experience_rate.14 ,experience_rate.15 ,experience_rate.16 ,experience_rate.17 ,experience_rate.18 ,experience_rate.19 ,experience_rate.20 ,preferance_rating.0 ,preferance_rating.1 ,preferance_rating.2 ,preferance_rating.3 ,preferance_rating.4 ,preferance_rating.5 ,preferance_rating.6 ,condition ,comment ,sama ,samv ,samd ,imi.0 ,imi.1 ,imi.2 ,imi.3 ,imi.4 ,imi.5 ,imi.6 ,imi.7 ,imi.8 ,imi.9 ,imi.10 ,imi.11 ,imi.12 ,pens.0 ,pens.1 ,pens.2 ,pens.3 ,pens.4 ,pens.5 ,pens.6 ,pens.7 ,pens.8 ,pens.9 ,pens.10 ,pens.11 ,pens.12 ,pens.13 ,pens.14 ,pens.15 ,pens.16 ,pens.17 ,pens.18 ,pens.19 ,pens.20 ,ceq.0 ,ceq.1 ,ceq.2 ,ceq.3 ,ceq.4 ,ceq.5 ,ceq.6 ,ceq.7 ,ceq.8 ,ceq.9 ,ceq.10 ,ceq.11 ,ceq.12 ,ceq.13 ,ceq.14 ,ceq.15 ,ceq.16 ,ceq.17 ,ceq.18 ,gsr_means
Complete,5598019,en,7/11/2013 15:27,7/11/2013 15:34,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,146,0:06:48,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,noticed more enemies came out after playing for a while. difficulty increased ,3,5,3,3,3,3,4,3,4,3,2,1,3,3,2,1,4,2,2,2,3,4,5,3,4,3,3,2,3,3,3,4,4,3,3,3,4,3,2,2,1,1,1,3,1,1,1,2,2,2,1,2,2,1,2,2,27.4066
Complete,5600344,en,7/11/2013 17:35,7/11/2013 17:37,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,169,0:01:29,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,2,2,4,4,4,4,4,4,4,4,4,2,3,2,2,4,2,4,3,2,3,4,2,4,4,4,3,2,2,4,4,4,4,4,4,4,3,3,2,1,2,2,3,2,2,2,3,3,3,2,3,1,3,3,3,0
Complete,5603002,en,7/11/2013 20:18,7/11/2013 20:23,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,142,0:04:59,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,didn't notice any change,5,1,2,1,5,5,5,5,1,1,5,5,1,1,1,1,4,2,1,1,2,2,3,1,4,4,1,2,2,3,4,3,4,4,1,5,3,3,2,1,3,3,2,2,2,2,2,3,2,3,2,2,1,1,2,2,0.2178
Complete,5603798,en,7/11/2013 21:34,7/11/2013 21:39,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,164,0:04:31,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Enemies seemed similar in difficulty to condition 4 so I modified my strategy slightly and it seemed to work better than before. I tried to do more running back and forth between the health pack and the grenade.,5,3,3,3,4,4,5,4,4,2,5,4,1,2,2,2,4,2,2,2,2,4,5,2,4,4,3,3,2,3,4,3,4,3,4,3,5,3,2,2,2,1,2,3,2,3,2,3,2,3,1,3,1,3,3,1,36.4494
Complete,5688357,en,7/17/2013 21:35,7/17/2013 21:40,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,170,0:04:18,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,it was better,3,4,3,2,2,4,4,2,4,3,3,4,2,5,3,3,4,4,3,5,4,4,4,3,4,3,3,5,2,4,4,4,3,4,2,2,5,3,3,2,2,2,3,1,3,3,2,3,2,3,2,1,2,1,3,1,10.1368
Complete,5707549,en,7/19/2013 18:04,7/19/2013 18:07,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,140,0:03:30,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,I backed into a corner and defended it so it was easier to not have zombies spawn behind you. I did better.,2,3,3,1,2,2,3,3,1,1,3,2,4,2,3,4,4,3,1,2,1,2,5,5,4,2,1,2,1,1,5,2,4,2,1,4,5,2,3,2,2,1,3,2,2,2,3,2,3,3,2,3,2,2,2,2,3.785
Complete,5708972,en,7/19/2013 20:16,7/19/2013 20:18,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,147,0:02:22,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,This felt the same as condition 4,3,3,3,4,4,4,2,4,4,3,3,2,2,3,4,3,4,2,3,2,2,2,5,4,4,2,3,2,2,2,4,4,4,2,3,3,5,1,3,1,1,1,1,1,1,2,1,1,3,2,1,3,3,1,2,2,-12.5052
Complete,5709805,en,7/19/2013 21:44,7/19/2013 21:49,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,162,0:04:57,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Didn't notice anything different this time than from the last one (4),4,5,2,5,5,4,3,5,5,4,1,3,1,5,3,1,5,2,3,2,1,2,5,4,4,3,4,2,1,1,5,4,4,1,3,5,5,3,3,1,1,2,2,1,1,2,2,3,3,3,2,3,1,2,2,2,-10.7204
Complete,5710207,en,7/19/2013 22:55,7/19/2013 23:06,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,145,0:10:42,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,2,2,4,3,4,4,3,3,4,4,4,3,2,1,2,4,4,3,2,3,4,4,2,3,3,1,2,1,4,3,3,3,4,2,3,4,1,2,2,1,2,1,3,1,2,1,1,2,3,2,2,1,1,2,2,12.9028
Complete,5728538,en,7/22/2013 22:26,7/22/2013 23:00,128.233.4.254,Canada,,c=inbetween,http://fluidsurveys.usask.ca/s/faham/questionnaires/?c=inbetween,,171,0:04:37,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Got used to the game.,2,3,3,4,2,4,4,4,4,4,4,4,2,2,4,2,4,2,2,2,2,4,5,2,4,4,4,4,2,2,4,4,4,4,2,3,5,3,3,3,3,3,1,3,3,1,1,3,3,3,1,3,3,3,3,3,125.1878
