time_millisecond,arousal,player_speed,zombie_speed,fog_start_dist,fog_end_dist,current_round,zombie_threshold,zombie_increase_power,max_zombie_alive,number_of_alive_zombies,number_of_killed_zombies,grenade_regen_delay,medic_regen_delay,calibrating,adaptation_condition
4970,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,3
4970,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,3
4970,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,3
4970,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,3
4970,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,1,3
6010,0,1,1,300,1000,1,5,1.3,5,2,0,30,30,1,3
6960,0,1,1,300,1000,1,5,1.3,5,3,0,30,30,1,3
7970,0,1,1,300,1000,1,5,1.3,5,4,0,30,30,1,3
8980,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,3
11990,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,3
30080,0,1,1,300,1000,2,5,1.3,5,0,5,30,30,1,3
30080,0,1,1,300,1000,2,5,1.3,7,0,5,30,30,1,3
30080,0,1,1,300,1000,2,8,1.3,7,0,5,30,30,1,3
40090,0,1,1,300,1000,2,8,1.3,7,1,5,30,30,1,3
40090,0,1,1,300,1000,2,8,1.3,7,2,5,30,30,1,3
41090,0,1,1,300,1000,2,8,1.3,7,3,5,30,30,1,3
41090,0,1,1,300,1000,2,8,1.3,7,4,5,30,30,1,3
42100,0,1,1,300,1000,2,8,1.3,7,5,5,30,30,1,3
42100,0,1,1,300,1000,2,8,1.3,7,6,5,30,30,1,3
43100,0,1,1,300,1000,2,8,1.3,7,7,5,30,30,1,3
44110,0,1,1,300,1000,2,8,1.3,7,7,6,30,30,1,3
59180,0,1,1,300,1000,3,8,1.3,7,0,13,30,30,1,3
59180,0,1,1,300,1000,3,8,1.3,10,0,13,30,30,1,3
59180,0,1,1,300,1000,3,14,1.3,10,0,13,30,30,1,3
69190,0,1,1,300,1000,3,14,1.3,10,1,13,30,30,1,3
69190,0,1,1,300,1000,3,14,1.3,10,2,13,30,30,1,3
69190,0,1,1,300,1000,3,14,1.3,10,3,13,30,30,1,3
69190,0,1,1,300,1000,3,14,1.3,10,4,13,30,30,1,3
69190,0,1,1,300,1000,3,14,1.3,10,4,13,30,30,0,3
69190,0.02727191,1,3.055563,300,1000,3,14,1.3,10,4,13,30,30,0,3
70190,0.02727191,1,3.055563,300,1000,3,14,1.3,10,5,13,30,30,0,3
70190,0.02727191,1,3.055563,300,1000,3,14,1.3,10,6,13,30,30,0,3
70190,0.02727191,1,3.055563,300,1000,3,14,1.3,10,7,13,30,30,0,3
70190,0.02727191,1,3.055563,300,1000,3,14,1.3,10,8,13,30,30,0,3
70190,0.009942442,1,3.226405,300,1000,3,14,1.3,10,8,13,30,30,0,3
71200,0.009942442,1,3.226405,300,1000,3,14,1.3,10,9,13,30,30,0,3
71200,0.009942442,1,3.226405,300,1000,3,14,1.3,10,10,13,30,30,0,3
