time_millisecond,arousal,player_speed,zombie_speed,fog_start_dist,fog_end_dist,current_round,zombie_threshold,zombie_increase_power,max_zombie_alive,number_of_alive_zombies,number_of_killed_zombies,grenade_regen_delay,medic_regen_delay,calibrating,adaptation_condition
4530,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,4
5550,0,1,1,300,1000,1,5,1.3,5,2,0,30,30,0,4
6540,0,1,1,300,1000,1,5,1.3,5,3,0,30,30,0,4
7540,0,1,1,300,1000,1,5,1.3,5,4,0,30,30,0,4
8540,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,0,4
8540,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,4
15580,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,4
68840,0,1,1,300,1000,1,5,1.3,5,4,1,30,30,0,4
68840,0.5866746,1,1,292,1086,1,5,1.3,5,4,1,30,30,0,4
68840,0.5866746,1,1,292,1086,1,5,1.3,5,4,1,30,64.79952,0,4
69850,0.5350236,1,1,273,1035,1,5,1.3,5,4,1,30,64.79952,0,4
69850,0.5350236,1,1,273,1035,1,5,1.3,5,4,1,30,67.89858,0,4
70850,0.4752358,1,1,250,975,1,5,1.3,5,4,1,30,67.89858,0,4
70850,0.4752358,1,1,250,975,1,5,1.3,5,4,1,30,71.48586,0,4
71860,0.431132,1,1,233,931,1,5,1.3,5,4,1,30,71.48586,0,4
71860,0.431132,1,1,233,931,1,5,1.3,5,4,1,30,74.13208,0,4
72860,0.4048349,1,1,223,904,1,5,1.3,5,4,1,30,74.13208,0,4
72860,0.4048349,1,1,223,904,1,5,1.3,5,4,1,30,75.70991,0,4
73870,0.3965802,1,1,220,896,1,5,1.3,5,4,1,30,75.70991,0,4
73870,0.3965802,1,1,220,896,1,5,1.3,5,4,1,30,76.20518,0,4
74880,0.420283,1,1,229,920,1,5,1.3,5,3,2,30,76.20518,0,4
74880,0.420283,1,1,229,920,1,5,1.3,5,3,2,30,74.78302,0,4
75880,0.4511792,1,1,241,951,1,5,1.3,5,3,2,30,74.78302,0,4
75880,0.4511792,1,1,241,951,1,5,1.3,5,3,2,30,72.92924,0,4
