time_millisecond,player_speed,zombie_speed,fog_start_dist,fog_end_dist,current_round,zombie_threshold,zombie_increase_power,max_zombie_alive,number_of_alive_zombies,number_of_killed_zombies,grenade_regen_delay,medic_regen_delay,calibrating,adaptation_condition
4519,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,3
5501,0,1,1,300,1000,1,5,1.3,5,2,0,30,30,0,3
6503,0,1,1,300,1000,1,5,1.3,5,3,0,30,30,0,3
7509,0,1,1,300,1000,1,5,1.3,5,4,0,30,30,0,3
8515,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,0,3
8516,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,3
15551,0,1,1,300,1000,1,5,1.3,5,4,1,30,30,1,3
35652,0,1,1,300,1000,2,5,1.3,5,0,5,30,30,1,3
35652,0,1,1,300,1000,2,5,1.3,7,0,5,30,30,1,3
35652,0,1,1,300,1000,2,8,1.3,7,0,5,30,30,1,3
45658,0,1,1,300,1000,2,8,1.3,7,1,5,30,30,1,3
45658,0,1,1,300,1000,2,8,1.3,7,2,5,30,30,1,3
46660,0,1,1,300,1000,2,8,1.3,7,3,5,30,30,1,3
46660,0,1,1,300,1000,2,8,1.3,7,4,5,30,30,1,3
47664,0,1,1,300,1000,2,8,1.3,7,5,5,30,30,1,3
47664,0,1,1,300,1000,2,8,1.3,7,6,5,30,30,1,3
48667,0,1,1,300,1000,2,8,1.3,7,7,5,30,30,1,3
52689,0,1,1,300,1000,2,8,1.3,7,7,6,30,30,1,3
68770,0,1,1,300,1000,2,8,1.3,7,3,10,30,30,0,3
68771,0.6129835,1,1,302,1112,2,8,1.3,7,3,10,30,30,0,3
68771,0.6129835,1,1,302,1112,2,8,1.3,7,3,10,30,63.22099,0,3
69777,0.7884641,1,1,369,1288,2,8,1.3,7,3,10,30,63.22099,0,3
69777,0.7884641,1,1,369,1288,2,8,1.3,7,3,10,30,52.69215,0,3
70782,0.9699555,1,1,438,1469,2,8,1.3,7,1,12,30,52.69215,0,3
70782,0.9699555,1,1,438,1469,2,8,1.3,7,1,12,30,41.80267,0,3
71785,1,1,1,450,1500,2,8,1.3,7,1,12,30,41.80267,0,3
71785,1,1,1,450,1500,2,8,1.3,7,1,12,30,40,0,3
72792,1,1,1,450,1500,3,8,1.3,7,0,13,30,40,0,3
72792,1,1,1,450,1500,3,8,1.3,10,0,13,30,40,0,3
72792,1,1,1,450,1500,3,14,1.3,10,0,13,30,40,0,3
72792,1,1,1,450,1500,3,14,1.3,10,0,13,30,40,0,3
72792,1,1,1,450,1500,3,14,1.3,10,0,13,30,40,0,3
82795,1,1,1,450,1500,3,14,1.3,10,1,13,30,40,0,3
82795,1,1,1,450,1500,3,14,1.3,10,2,13,30,40,0,3
82795,1,1,1,450,1500,3,14,1.3,10,3,13,30,40,0,3
82795,1,1,1,450,1500,3,14,1.3,10,4,13,30,40,0,3
82795,1,1,1,450,1500,3,14,1.3,10,4,13,30,40,0,3
82795,1,1,1,450,1500,3,14,1.3,10,4,13,30,40,0,3
83797,1,1,1,450,1500,3,14,1.3,10,5,13,30,40,0,3
83797,1,1,1,450,1500,3,14,1.3,10,6,13,30,40,0,3
83797,1,1,1,450,1500,3,14,1.3,10,7,13,30,40,0,3
83797,1,1,1,450,1500,3,14,1.3,10,8,13,30,40,0,3
83797,1,1,1,450,1500,3,14,1.3,10,8,13,30,40,0,3
83797,1,1,1,450,1500,3,14,1.3,10,8,13,30,40,0,3
84803,1,1,1,450,1500,3,14,1.3,10,9,13,30,40,0,3
84803,1,1,1,450,1500,3,14,1.3,10,10,13,30,40,0,3
84803,1,1,1,450,1500,3,14,1.3,10,10,13,30,40,0,3
84803,1,1,1,450,1500,3,14,1.3,10,10,13,30,40,0,3
85809,1,1,1,450,1500,3,14,1.3,10,10,13,30,40,0,3
85809,1,1,1,450,1500,3,14,1.3,10,10,13,30,40,0,3
86817,1,1,1,450,1500,3,14,1.3,10,10,13,30,40,0,3
86817,1,1,1,450,1500,3,14,1.3,10,10,13,30,40,0,3
87825,1,1,1,450,1500,3,14,1.3,10,10,13,30,40,0,3
87825,1,1,1,450,1500,3,14,1.3,10,10,13,30,40,0,3
88825,1,1,1,450,1500,3,14,1.3,10,10,13,30,40,0,3
88825,1,1,1,450,1500,3,14,1.3,10,10,13,30,40,0,3
89831,1,1,1,450,1500,3,14,1.3,10,10,13,30,40,0,3
89831,1,1,1,450,1500,3,14,1.3,10,10,13,30,40,0,3
90835,1,1,1,450,1500,3,14,1.3,10,10,14,30,40,0,3
90835,1,1,1,450,1500,3,14,1.3,10,10,14,30,40,0,3
90835,1,1,1,450,1500,3,14,1.3,10,10,14,30,40,0,3
91844,1,1,1,450,1500,3,14,1.3,10,10,14,30,40,0,3
91844,1,1,1,450,1500,3,14,1.3,10,10,14,30,40,0,3
92847,1,1,1,450,1500,3,14,1.3,10,10,14,30,40,0,3
92847,1,1,1,450,1500,3,14,1.3,10,10,14,30,40,0,3
93850,1,1,1,450,1500,3,14,1.3,10,9,16,30,40,0,3
93850,1,1,1,450,1500,3,14,1.3,10,10,16,30,40,0,3
93850,1,1,1,450,1500,3,14,1.3,10,10,16,30,40,0,3
93850,1,1,1,450,1500,3,14,1.3,10,10,16,30,40,0,3
94859,1,1,1,450,1500,3,14,1.3,10,10,16,30,40,0,3
94859,1,1,1,450,1500,3,14,1.3,10,10,16,30,40,0,3
95859,1,1,1,450,1500,3,14,1.3,10,10,16,30,40,0,3
95859,1,1,1,450,1500,3,14,1.3,10,10,16,30,40,0,3
96865,1,1,1,450,1500,3,14,1.3,10,9,18,30,40,0,3
96865,1,1,1,450,1500,3,14,1.3,10,9,18,30,40,0,3
96865,1,1,1,450,1500,3,14,1.3,10,9,18,30,40,0,3
97869,1,1,1,450,1500,3,14,1.3,10,7,20,30,40,0,3
97869,1,1,1,450,1500,3,14,1.3,10,7,20,30,40,0,3
98881,1,1,1,450,1500,3,14,1.3,10,7,20,30,40,0,3
98881,1,1,1,450,1500,3,14,1.3,10,7,20,30,40,0,3
99884,1,1,1,450,1500,3,14,1.3,10,7,20,30,40,0,3
99884,1,1,1,450,1500,3,14,1.3,10,7,20,30,40,0,3
100890,1,1,1,450,1500,3,14,1.3,10,7,20,30,40,0,3
100890,1,1,1,450,1500,3,14,1.3,10,7,20,30,40,0,3
101895,1,1,1,450,1500,3,14,1.3,10,7,20,30,40,0,3
101895,1,1,1,450,1500,3,14,1.3,10,7,20,30,40,0,3
102892,1,1,1,450,1500,3,14,1.3,10,6,21,30,40,0,3
102892,1,1,1,450,1500,3,14,1.3,10,6,21,30,40,0,3
103902,1,1,1,450,1500,3,14,1.3,10,6,21,30,40,0,3
103902,1,1,1,450,1500,3,14,1.3,10,6,21,30,40,0,3
104910,1,1,1,450,1500,3,14,1.3,10,6,21,30,40,0,3
104910,1,1,1,450,1500,3,14,1.3,10,6,21,30,40,0,3
105909,1,1,1,450,1500,3,14,1.3,10,5,22,30,40,0,3
105909,1,1,1,450,1500,3,14,1.3,10,5,22,30,40,0,3
106918,1,1,1,450,1500,3,14,1.3,10,5,22,30,40,0,3
106918,1,1,1,450,1500,3,14,1.3,10,5,22,30,40,0,3
107919,1,1,1,450,1500,3,14,1.3,10,4,23,30,40,0,3
107919,1,1,1,450,1500,3,14,1.3,10,4,23,30,40,0,3
108924,1,1,1,450,1500,3,14,1.3,10,4,23,30,40,0,3
108924,1,1,1,450,1500,3,14,1.3,10,4,23,30,40,0,3
109928,1,1,1,450,1500,3,14,1.3,10,4,23,30,40,0,3
109928,1,1,1,450,1500,3,14,1.3,10,4,23,30,40,0,3
110934,1,1,1,450,1500,3,14,1.3,10,3,24,30,40,0,3
110934,1,1,1,450,1500,3,14,1.3,10,3,24,30,40,0,3
111944,1,1,1,450,1500,3,14,1.3,10,3,24,30,40,0,3
111944,1,1,1,450,1500,3,14,1.3,10,3,24,30,40,0,3
112949,1,1,1,450,1500,3,14,1.3,10,3,24,30,40,0,3
112950,1,1,1,450,1500,3,14,1.3,10,3,24,30,40,0,3
113950,1,1,1,450,1500,3,14,1.3,10,3,24,30,40,0,3
113950,1,1,1,450,1500,3,14,1.3,10,3,24,30,40,0,3
114957,1,1,1,450,1500,3,14,1.3,10,3,24,30,40,0,3
114957,1,1,1,450,1500,3,14,1.3,10,3,24,30,40,0,3
115958,1,1,1,450,1500,3,14,1.3,10,2,25,30,40,0,3
115958,1,1,1,450,1500,3,14,1.3,10,2,25,30,40,0,3
116973,1,1,1,450,1500,3,14,1.3,10,2,25,30,40,0,3
116973,1,1,1,450,1500,3,14,1.3,10,2,25,30,40,0,3
117967,1,1,1,450,1500,3,14,1.3,10,2,25,30,40,0,3
117967,1,1,1,450,1500,3,14,1.3,10,2,25,30,40,0,3
118976,1,1,1,450,1500,3,14,1.3,10,2,25,30,40,0,3
118976,1,1,1,450,1500,3,14,1.3,10,2,25,30,40,0,3
119985,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
119985,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
120982,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
120982,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
121989,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
121989,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
122996,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
122996,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
124005,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
124005,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
125006,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
125006,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
126014,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
126014,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
127018,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
