time_millisecond,arousal,player_speed,zombie_speed,fog_start_dist,fog_end_dist,current_round,zombie_threshold,zombie_increase_power,max_zombie_alive,number_of_alive_zombies,number_of_killed_zombies,grenade_regen_delay,medic_regen_delay,calibrating,adaptation_condition
4960,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,3
5970,0,1,1,300,1000,1,5,1.3,5,2,0,30,30,0,3
6970,0,1,1,300,1000,1,5,1.3,5,3,0,30,30,0,3
6970,0,1,1,300,1000,1,5,1.3,5,3,0,30,30,1,3
7980,0,1,1,300,1000,1,5,1.3,5,4,0,30,30,1,3
8990,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,3
14010,0,1,1,300,1000,1,5,1.3,5,4,1,30,30,1,3
37130,0,1,1,300,1000,2,5,1.3,5,0,5,30,30,1,3
37130,0,1,1,300,1000,2,5,1.3,7,0,5,30,30,1,3
37130,0,1,1,300,1000,2,8,1.3,7,0,5,30,30,1,3
47130,0,1,1,300,1000,2,8,1.3,7,1,5,30,30,1,3
47130,0,1,1,300,1000,2,8,1.3,7,2,5,30,30,1,3
48140,0,1,1,300,1000,2,8,1.3,7,3,5,30,30,1,3
48140,0,1,1,300,1000,2,8,1.3,7,4,5,30,30,1,3
49140,0,1,1,300,1000,2,8,1.3,7,5,5,30,30,1,3
49140,0,1,1,300,1000,2,8,1.3,7,6,5,30,30,1,3
50140,0,1,1,300,1000,2,8,1.3,7,7,5,30,30,1,3
52150,0,1,1,300,1000,2,8,1.3,7,7,6,30,30,1,3
67230,0,1,1,300,1000,2,8,1.3,7,2,11,30,30,0,3
67230,0.7823992,1,0.9238735,300,1000,2,8,1.3,7,2,11,30,30,0,3
68240,0.6491269,1,1.0536,300,1000,2,8,1.3,7,1,12,30,30,0,3
69240,0.5004594,1,1.249283,300,1000,2,8,1.3,7,1,12,30,30,0,3
70250,0.4910384,1,1.264161,300,1000,2,8,1.3,7,1,12,30,30,0,3
71250,0.4910384,1,1.264161,300,1000,3,8,1.3,7,0,13,30,30,0,3
71250,0.4910384,1,1.264161,300,1000,3,8,1.3,10,0,13,30,30,0,3
71250,0.4910384,1,1.264161,300,1000,3,14,1.3,10,0,13,30,30,0,3
71250,0.5326285,1,1.201016,300,1000,3,14,1.3,10,0,13,30,30,0,3
81250,0.5326285,1,1.201016,300,1000,3,14,1.3,10,1,13,30,30,0,3
81250,0.5326285,1,1.201016,300,1000,3,14,1.3,10,2,13,30,30,0,3
81250,0.5326285,1,1.201016,300,1000,3,14,1.3,10,3,13,30,30,0,3
81250,0.5326285,1,1.201016,300,1000,3,14,1.3,10,4,13,30,30,0,3
81250,0.6300553,1,1.075205,300,1000,3,14,1.3,10,4,13,30,30,0,3
82260,0.6300553,1,1.075205,300,1000,3,14,1.3,10,5,13,30,30,0,3
82260,0.6300553,1,1.075205,300,1000,3,14,1.3,10,6,13,30,30,0,3
82260,0.6300553,1,1.075205,300,1000,3,14,1.3,10,7,13,30,30,0,3
82260,0.6300553,1,1.075205,300,1000,3,14,1.3,10,8,13,30,30,0,3
82260,0.6564801,1,1.0455,300,1000,3,14,1.3,10,8,13,30,30,0,3
83260,0.6564801,1,1.0455,300,1000,3,14,1.3,10,9,13,30,30,0,3
83260,0.6564801,1,1.0455,300,1000,3,14,1.3,10,10,13,30,30,0,3
83260,0.6787686,1,1.021692,300,1000,3,14,1.3,10,10,13,30,30,0,3
84270,0.6227023,1,1.083773,300,1000,3,14,1.3,10,10,13,30,30,0,3
85280,0.5967371,1,1.115154,300,1000,3,14,1.3,10,10,13,30,30,0,3
86280,0.5967371,1,1.115154,300,1000,3,14,1.3,10,10,14,30,30,0,3
86280,0.6757814,1,1.02482,300,1000,3,14,1.3,10,10,14,30,30,0,3
87290,0.6757814,1,1.02482,300,1000,3,14,1.3,10,10,15,30,30,0,3
87290,0.7931987,1,0.9147468,300,1000,3,14,1.3,10,10,15,30,30,0,3
88290,0.8851107,1,0.843803,300,1000,3,14,1.3,10,9,16,30,30,0,3
89300,0.8851107,1,0.843803,300,1000,3,14,1.3,10,9,17,30,30,0,3
89300,0.8308826,1,0.8842651,300,1000,3,14,1.3,10,9,17,30,30,0,3
90300,0.8308826,1,0.8842651,300,1000,3,14,1.3,10,8,19,30,30,0,3
90300,0.782629,1,0.9236775,300,1000,3,14,1.3,10,8,19,30,30,0,3
91300,0.7495407,1,0.9527977,300,1000,3,14,1.3,10,8,19,30,30,0,3
92310,0.7541363,1,0.9486439,300,1000,3,14,1.3,10,8,19,30,30,0,3
93310,0.8235297,1,0.8900521,300,1000,3,14,1.3,10,8,19,30,30,0,3
94320,0.8035389,1,0.9061756,300,1000,3,14,1.3,10,7,20,30,30,0,3
95330,0.7865351,1,0.9203568,300,1000,3,14,1.3,10,7,20,30,30,0,3
96330,0.7614891,1,0.9420728,300,1000,3,14,1.3,10,6,21,30,30,0,3
97340,0.7176013,1,0.9827031,300,1000,3,14,1.3,10,6,21,30,30,0,3
98340,0.7451749,1,0.9567777,300,1000,3,14,1.3,10,6,21,30,30,0,3
99350,0.8214617,1,0.8916934,300,1000,3,14,1.3,10,5,22,30,30,0,3
100350,0.8619029,1,0.8606571,300,1000,3,14,1.3,10,5,22,30,30,0,3
101360,0.8671878,1,0.8567601,300,1000,3,14,1.3,10,5,22,30,30,0,3
102360,0.7904415,1,0.9170598,300,1000,3,14,1.3,10,4,23,30,30,0,3
103360,0.8414527,1,0.8760766,300,1000,3,14,1.3,10,4,23,30,30,0,3
104370,0.9719676,1,0.7861835,300,1000,3,14,1.3,10,3,24,30,30,0,3
105380,1,1,0.7692308,300,1000,3,14,1.3,10,3,24,30,30,0,3
106380,1,1,0.7692308,300,1000,3,14,1.3,10,3,24,30,30,0,3
107380,0.9471515,1,0.8018272,300,1000,3,14,1.3,10,3,24,30,30,0,3
108390,0.8874087,1,0.84217,300,1000,3,14,1.3,10,2,25,30,30,0,3
109400,1,1,0.7692308,300,1000,3,14,1.3,10,2,25,30,30,0,3
110400,1,1,0.7692308,300,1000,3,14,1.3,10,2,25,30,30,0,3
111410,1,1,0.7692308,300,1000,3,14,1.3,10,2,25,30,30,0,3
112410,0.9717377,1,0.7863257,300,1000,3,14,1.3,10,2,25,30,30,0,3
113410,0.8766089,1,0.8499001,300,1000,3,14,1.3,10,2,25,30,30,0,3
114420,0.8809748,1,0.8467581,300,1000,3,14,1.3,10,2,25,30,30,0,3
115420,0.947611,1,0.8015319,300,1000,3,14,1.3,10,2,25,30,30,0,3
116430,1,1,0.7692308,300,1000,3,14,1.3,10,2,25,30,30,0,3
117440,0.9611679,1,0.7929158,300,1000,3,14,1.3,10,2,25,30,30,0,3
118440,0.9232542,1,0.8174916,300,1000,3,14,1.3,10,2,25,30,30,0,3
119440,0.8846511,1,0.8441304,300,1000,3,14,1.3,10,2,25,30,30,0,3
120450,0.8602945,1,0.8618502,300,1000,3,14,1.3,10,2,25,30,30,0,3
121450,0.8763789,1,0.8500662,300,1000,3,14,1.3,10,2,25,30,30,0,3
122460,0.9018845,1,0.8320267,300,1000,3,14,1.3,10,1,26,30,30,0,3
123470,0.8995867,1,0.8336204,300,1000,3,14,1.3,10,1,26,30,30,0,3
124480,0.9533553,1,0.7978584,300,1000,3,14,1.3,10,1,26,30,30,0,3
125480,0.9832266,1,0.7792856,300,1000,3,14,1.3,10,1,26,30,30,0,3
126480,1,1,0.7692308,300,1000,3,14,1.3,10,1,26,30,30,0,3
127490,1,1,0.7692308,300,1000,3,14,1.3,10,1,26,30,30,0,3
128490,1,1,0.7692308,300,1000,3,14,1.3,10,1,26,30,30,0,3
129500,1,1,0.7692308,300,1000,4,14,1.3,10,0,27,30,30,0,3
